eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1524,77,4,p33f28,Datafile processing p33f28 Block 5 event 4,Bri,Hrd,Rgt,Horz,Horz,61,0.27,342,33,30,29,19.3312527170998,46,60,Correct,Correct,1.03117577956128,309.063407689271,0.31,0.14,1.03117577956128,-0.0557749785554181,113.852043005779,0.774193548387097,175.770791616618,253.634032715914
1525,77,5,p33f28,Datafile processing p33f28 Block 5 event 5,Bri,Esy,Rgt,Vert,Horz,58,0.27,344,33,29,27,17.8123758930514,44,57,Correct,Correct,1.04799647032932,268.155839951599,0.3,0.13,1.04799647032932,-0.0885734798691298,111.114907560792,0.766666666666667,152.946501214229,219.507756962918
1526,77,6,p33f28,Datafile processing p33f28 Block 5 event 6,Bri,Bas,Lft,Vert,Miss,63,0.29,353,39,33,31,16.2840875397888,47,63,Correct,Incorrect,1.02107577743151,269.291778840904,0.32,0.16,1.02107577743151,0.0415490250477985,124.284902294069,0.8125,-141.611707853515,228.681511132393
1527,77,7,p33f28,Datafile processing p33f28 Block 5 event 7,Bri,Hrd,Rgt,Vert,Vert,58,0.29,329,33,29,28,17.9089971138485,45,57,Correct,Correct,1.04747266255134,265.078324129154,0.29,0.12,1.04747266255134,-0.0734255297582714,115.438801107111,0.758620689655172,152.092180604602,217.405863310175
1528,77,8,p33f28,Datafile processing p33f28 Block 5 event 8,Bri,Hrd,Lft,Vert,Horz,65,0.3,343,39,34,29,17.9069930752697,48,64,Correct,Correct,1.0187368348468,282.415223292769,0.35,0.16,1.0187368348468,0.00440811135260284,123.290676208209,0.8,-148.143093029293,239.710202568713
1529,77,9,p33f28,Datafile processing p33f28 Block 5 event 9,Bri,Esy,Lft,Vert,Vert,60,0.25,332,36,30,27,16.8837376962964,44,60,Correct,Incorrect,1.01708716561658,263.127917078046,0.33,0.16,1.01708716561658,-0.0113486852250713,124.689001746842,0.787878787878788,-135.438231582263,225.338249338458
1530,77,10,p33f28,Datafile processing p33f28 Block 5 event 10,Bri,Hrd,Lft,Vert,Vert,66,0.22,316,32,26,25,16.150800057435,47,67,Correct,Incorrect,1.20765341011118,267.466105786241,0.42,0.2,1.20765341011118,0.088218312057384,127.57858073169,0.880952380952381,-145.52236660787,224.522416860122
1531,77,11,p33f28,Datafile processing p33f28 Block 5 event 11,Bri,Hrd,Lft,Horz,Vert,65,0.35,374,42,39,34,19.7756594175975,51,65,Correct,Incorrect,1.01313537834567,295.593577776785,0.31,0.14,1.01313537834567,-0.0401984317486007,114.512586941578,0.774193548387097,-128.296549804852,265.70537708084
1532,77,12,p33f28,Datafile processing p33f28 Block 5 event 12,Bri,Bas,Lft,Horz,Miss,63,0.31,328,39,34,32,18.2618358584307,47,62,Correct,Incorrect,1.0248425481691,267.226044556914,0.3,0.15,1.0248425481691,0.0106573351978726,113.296035974371,0.733333333333333,-99.7131697447929,247.862471765236
1533,77,13,p33f28,Datafile processing p33f28 Block 5 event 13,Bri,Esy,Rgt,Horz,Vert,56,0.25,309,31,27,26,20.2681722537007,42,56,Correct,Correct,1.02691528190848,302.85876905518,0.3,0.14,1.02691528190848,-0.0476290836451459,111.110155228092,0.733333333333333,174.658430552498,246.651987727671
1534,77,14,p33f28,Datafile processing p33f28 Block 5 event 14,Bri,Bas,Rgt,Horz,Miss,62,0.28,325,34,30,29,20.7165745638867,46,61,Correct,Correct,1.03145176720163,321.910201804682,0.32,0.15,1.03145176720163,-0.0642283484212677,109.185425247699,0.75,189.525351697594,259.789563920497
1535,77,15,p33f28,Datafile processing p33f28 Block 5 event 15,Bri,Hrd,Rgt,Horz,Vert,60,0.27,320,33,30,28,19.4449910698631,45,59,Correct,Correct,1.01393281638514,308.898026256283,0.31,0.14,1.01393281638514,-0.0368023404333618,109.119212543129,0.741935483870968,187.061661104655,245.401129585514
1536,77,16,p33f28,Datafile processing p33f28 Block 5 event 16,Bri,Hrd,Lft,Horz,Horz,67,0.34,376,42,38,33,17.6027329220364,50,67,Correct,Incorrect,1.01631125456631,277.111363296104,0.34,0.17,1.01631125456631,-0.00110825825242197,108.787852486291,0.705882352941177,-107.145251247433,255.253339897759
1537,77,17,p33f28,Datafile processing p33f28 Block 5 event 17,Bri,Esy,Lft,Horz,Horz,64,0.34,328,41,38,30,18.9964965249162,49,64,Correct,Correct,1.02762475289206,284.798981610102,0.34,0.15,1.02762475289206,-0.019473923009599,108.373229096837,0.764705882352941,-112.5075623868,260.808773015356
