eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1501,94,13,p13f19,Datafile processing p13f19 Block 4 event 13,Drk,Hrd,Rgt,Vert,Horz,89,0.37,0,47,39,39,10.9160899091431,55,88,Correct,Correct,1.02902948139036,253.829032630823,0.49,0.33,1.02902948139036,-0.0618366655499038,93.7245120135085,0.816326530612245,145.523766972564,205.998199464624
1502,94,14,p13f19,Datafile processing p13f19 Block 4 event 14,Drk,Esy,Rgt,Horz,Vert,97,0.36,0,45,38,38,12.0416226743426,55,95,Correct,Correct,1.01461719412178,308.085966256983,0.57,0.4,1.01461719412178,-0.0393878874074182,85.5650586078407,0.736842105263158,186.948109704702,243.006044784613
1503,94,15,p13f19,Datafile processing p13f19 Block 4 event 15,Drk,Hrd,Lft,Horz,Horz,101,0.51,0,62,56,54,11.0202962790787,74,102,Correct,Correct,1.00695923078744,275.490435070276,0.48,0.28,1.00695923078744,0.0129427191665743,92.3359296776144,0.8125,-96.1346500734206,256.736377977973
1504,94,16,p13f19,Datafile processing p13f19 Block 4 event 16,Drk,Hrd,Rgt,Vert,Vert,133,0.91,0,101,57,57,10.4903483204307,110,132,Correct,Correct,1.19630955309214,258.372804812958,0.75,0.22,1.19630955309214,0.0648648103275364,94.5154982546769,0.866666666666667,146.120473775741,211.235291271066
1505,95,1,p13f19,Datafile processing p13f19 Block 5 event 1,Bri,Esy,Rgt,Horz,Vert,118,0.64,0,73,69,68,13.0375939536901,84,118,Correct,Correct,1.00997254168311,320.970448011333,0.5,0.34,1.00997254168311,-0.0283124059687867,91.0461718245079,0.74,189.594521891667,255.436897695034
1506,95,2,p13f19,Datafile processing p13f19 Block 5 event 2,Bri,Hrd,Lft,Vert,Horz,101,0.36,0,48,41,40,10.1268746052976,60,101,Correct,Correct,1.0091073556466,272.138829170582,0.61,0.41,1.0091073556466,0.00902598652762577,97.8158568169136,0.721311475409836,-148.65083554297,226.171618569798
1507,95,3,p13f19,Datafile processing p13f19 Block 5 event 3,Bri,Esy,Lft,Vert,Vert,95,0.33,0,45,38,37,10.5345487044857,57,94,Correct,Correct,1.01081064741657,278.776794308051,0.57,0.37,1.01081064741657,0.0343349003419169,95.7340441521676,0.736842105263158,-141.822377136244,236.675315236827
1508,95,4,p13f19,Datafile processing p13f19 Block 5 event 4,Bri,Hrd,Rgt,Vert,Horz,89,0.31,0,46,35,34,8.68139835198849,62,89,Correct,Correct,1.01319687188275,244.799056296148,0.55,0.27,1.01319687188275,-0.0337071257977993,94.7130142798323,0.854545454545454,145.440737100576,194.609301014403
1509,95,5,p13f19,Datafile processing p13f19 Block 5 event 5,Bri,Hrd,Lft,Vert,Vert,101,0.4,0,52,45,43,10.050737704664,64,97,Correct,Correct,1.00488951024651,266.591516621222,0.54,0.33,1.00488951024651,0.00728678881322192,95.1083671329721,0.814814814814815,-132.973272685169,228.00194388299
1510,95,6,p13f19,Datafile processing p13f19 Block 5 event 6,Bri,Esy,Rgt,Vert,Vert,84,0.33,0,42,35,34,10.2884229226922,50,83,Correct,Correct,1.02266564875215,247.753720804245,0.49,0.33,1.02266564875215,-0.0533861478358682,94.0291855414439,0.816326530612245,148.891416019937,195.821845437318
